City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Banepa,NP,2022-07-28 18:56:53,27.6298,85.5214,70.12,94,75,0.0
215,Pangody,RU,2022-07-28 18:56:53,65.85,74.4859,58.59,77,23,2.66
216,Touros,BR,2022-07-28 18:56:53,-5.1989,-35.4608,80.11,72,6,16.17
217,Leh,IN,2022-07-28 18:54:55,34.1667,77.5833,60.03,74,99,3.87
218,Faya,SA,2022-07-28 18:56:54,18.3851,42.4509,71.71,64,100,4.14
219,Aykhal,RU,2022-07-28 18:56:54,66.0,111.5,67.17,71,10,3.91
220,Batagay,RU,2022-07-28 18:56:54,67.6333,134.6333,68.29,68,98,2.15
221,Dunedin,NZ,2022-07-28 18:56:54,-45.8742,170.5036,43.81,78,100,8.01
222,Loandjili,CG,2022-07-28 18:56:55,-4.7561,11.8578,70.63,88,9,6.08
223,Honningsvag,NO,2022-07-28 18:56:55,70.9821,25.9704,49.75,81,75,6.91
224,Bukachacha,RU,2022-07-28 18:56:55,52.9833,116.9167,49.23,96,5,2.21
225,Udachnyy,RU,2022-07-28 18:56:55,66.4167,112.4,73.45,46,23,3.42
226,Paratinga,BR,2022-07-28 18:56:56,-12.6906,-43.1842,89.35,24,0,1.57
227,Iqaluit,CA,2022-07-28 18:56:56,63.7506,-68.5145,55.13,62,100,9.22
228,Haines Junction,CA,2022-07-28 18:56:56,60.7522,-137.5108,57.15,77,100,2.3
229,Hurghada,EG,2022-07-28 18:56:57,27.2574,33.8129,93.24,21,0,0.0
230,Mehriz,IR,2022-07-28 18:56:57,31.5917,54.4318,82.9,50,100,3.94
231,Tasiilaq,GL,2022-07-28 18:56:57,65.6145,-37.6368,39.43,95,100,4.12
232,Vondrozo,MG,2022-07-28 18:57:57,-22.8167,47.2833,58.78,98,58,3.53
233,Ostrovnoy,RU,2022-07-28 18:57:58,68.0531,39.5131,50.81,88,71,14.7
234,Colares,PT,2022-07-28 18:57:58,38.7992,-9.4469,78.48,67,20,23.02
235,Turayf,SA,2022-07-28 18:57:58,31.6725,38.6637,91.65,14,0,5.75
236,Narsaq,GL,2022-07-28 18:57:58,60.9167,-46.05,49.69,58,98,6.67
237,Lichinga,MZ,2022-07-28 18:57:59,-13.3128,35.2406,59.09,72,40,2.3
238,Rawson,AR,2022-07-28 18:57:59,-43.3002,-65.1023,53.91,48,5,19.8
239,Evensk,RU,2022-07-28 18:57:59,61.95,159.2333,51.15,63,100,4.07
240,Ayagoz,KZ,2022-07-28 18:57:59,47.9714,80.4392,73.35,30,5,9.06
241,Kahului,US,2022-07-28 18:54:39,20.8947,-156.47,80.96,76,31,10.0
242,Sawtell,AU,2022-07-28 18:58:00,-30.3833,153.1,48.18,93,100,2.3
243,Trinidad,BO,2022-07-28 18:58:00,-14.8333,-64.9,93.18,38,20,9.22
244,Noumea,NC,2022-07-28 18:57:04,-22.2763,166.4572,69.01,99,29,6.82
245,Cesis,LV,2022-07-28 18:56:46,57.3119,25.2746,59.74,94,82,6.08
246,Pouebo,NC,2022-07-28 18:58:00,-20.4,164.5667,67.39,82,1,9.69
247,Benghazi,LY,2022-07-28 18:58:01,32.1167,20.0667,82.04,70,0,9.57
248,Geraldton,AU,2022-07-28 18:58:01,-28.7667,114.6,57.61,88,40,12.66
249,Itarema,BR,2022-07-28 18:58:01,-2.9248,-39.9167,82.49,66,28,17.9
250,Manggar,ID,2022-07-28 18:58:01,-2.8833,108.2667,80.8,82,99,9.86
251,Samthar,IN,2022-07-28 18:58:02,25.85,78.9167,83.71,74,100,6.8
252,Emerald,AU,2022-07-28 18:57:48,-23.5333,148.1667,42.35,79,0,10.56
253,Tyazhinskiy,RU,2022-07-28 18:58:02,56.116,88.524,56.07,92,19,4.18
254,Aswan,EG,2022-07-28 18:54:18,24.0934,32.907,101.5,12,0,11.5
255,Matagami,CA,2022-07-28 18:58:02,49.7502,-77.6328,69.91,68,0,8.05
256,Marsh Harbour,BS,2022-07-28 18:58:03,26.5412,-77.0636,83.44,71,37,12.91
257,Vestmannaeyjar,IS,2022-07-28 18:58:03,63.4427,-20.2734,49.19,93,75,6.91
258,Gribanovskiy,RU,2022-07-28 18:58:03,51.4579,41.9764,70.41,67,95,2.15
259,Benavente,ES,2022-07-28 18:58:03,42.0025,-5.6783,82.47,28,6,12.84
260,Ucluelet,CA,2022-07-28 18:58:04,48.9329,-125.5528,62.91,78,44,7.45
261,Westport,US,2022-07-28 18:58:04,41.1415,-73.3579,91.15,67,100,7.0
262,Lavrentiya,RU,2022-07-28 18:58:04,65.5833,-171.0,43.03,89,100,5.14
263,Ostersund,SE,2022-07-28 18:58:05,63.1792,14.6357,52.25,66,17,10.36
264,Oriximina,BR,2022-07-28 18:58:05,-1.7656,-55.8661,90.23,47,87,3.27
265,Ishigaki,JP,2022-07-28 18:54:39,24.3448,124.1572,82.53,94,20,4.61
266,Kisaran,ID,2022-07-28 18:58:05,2.9845,99.6158,75.11,97,100,2.75
267,Zyryanka,RU,2022-07-28 18:58:06,65.75,150.85,47.44,67,0,10.89
268,Bandar,ID,2022-07-28 18:58:06,2.05,99.75,74.37,89,100,3.0
269,Srivardhan,IN,2022-07-28 18:58:06,18.0333,73.0167,80.51,90,89,6.22
270,Pangoa,PE,2022-07-28 18:58:06,-12.1167,-73.0,85.77,45,68,4.23
271,Kovdor,RU,2022-07-28 18:58:07,67.5662,30.4758,48.74,88,100,9.55
272,Hasaki,JP,2022-07-28 18:58:07,35.7333,140.8333,77.4,90,98,9.42
273,Poum,NC,2022-07-28 18:57:23,-20.2333,164.0167,71.15,76,1,9.82
274,Thompson,CA,2022-07-28 18:59:07,55.7435,-97.8558,73.56,40,20,8.05
275,Lubao,PH,2022-07-28 18:59:08,14.9167,120.55,80.67,88,100,2.39
276,Saint Anthony,US,2022-07-28 18:58:35,45.0205,-93.218,76.33,50,72,3.0
277,Acapulco,MX,2022-07-28 18:59:08,16.8634,-99.8901,81.86,72,78,1.9
278,Tamandare,BR,2022-07-28 18:59:08,-8.7597,-35.1047,77.88,76,19,6.2
279,Wainwright,CA,2022-07-28 18:59:08,52.839,-110.8572,79.93,43,0,9.04
280,Erzurum,TR,2022-07-28 18:59:09,40.0,41.5,65.88,41,0,6.08
281,Prince Rupert,CA,2022-07-28 18:54:40,54.3161,-130.3201,65.89,86,0,5.75
282,Grenville,GD,2022-07-28 18:59:09,12.1167,-61.6167,86.05,68,7,16.84
283,Teahupoo,PF,2022-07-28 18:59:09,-17.8333,-149.2667,75.16,77,31,25.05
284,Sinnamary,GF,2022-07-28 18:59:10,5.3833,-52.95,82.29,76,87,9.24
285,Alice Springs,AU,2022-07-28 18:59:10,-23.7,133.8833,36.95,48,46,0.0
286,Sistranda,NO,2022-07-28 18:59:10,63.7256,8.834,57.16,64,89,5.44
287,Korla,CN,2022-07-28 18:59:10,41.7597,86.1469,90.46,15,98,9.86
288,Hualmay,PE,2022-07-28 18:59:11,-11.0964,-77.6139,66.49,71,17,9.01
289,Nenjiang,CN,2022-07-28 18:59:11,49.1833,125.2167,65.41,97,100,5.26
